Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC014,41.0,3 Decimal point, , , , , PASS,7064
TC015,44.0,3 Decimal point,ViewSummary,subtotal,'$13.256,'$12.120,FAIL,7065
TC015,44.0,3 Decimal point,ViewSummary,Discount,'-$0.431,'-$0.394,FAIL,7065
TC015,44.0,3 Decimal point,ViewSummary,DownloadPrice,'$13.256,'$12.120,FAIL,7065
TC015,44.0,3 Decimal point,ViewSummary,total,'$12.825,'$11.726,FAIL,7065
TC015,44.0,3 Decimal point,ShoppingCart,GridTotal,'$12.825,'$11.726,FAIL,7065
TC015,44.0,3 Decimal point,ShoppingCart,total,'$12.825,'$11.726,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,ItemPrice,'$13.256,'$12.120,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,Amount,'$12.825,'$11.726,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,SubTotal,'$12.825,'$11.726,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,PromotionDiscount,'-$1.230,'-$2.350,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,TaxPercentage,'(1.250%),'(3.120%),FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,TaxAmount,'$0.145,'$0.293,FAIL,7065
TC015,44.0,3 Decimal point,OrderCheckOut,Total,'$11.740,'$9.669,FAIL,7065
TC015,45.0,4 Decimal point,ViewSummary,subtotal,'$14.2365,'$12.1200,FAIL,7065
TC015,45.0,4 Decimal point,ViewSummary,Discount,'-$0.6492,'-$0.5527,FAIL,7065
TC015,45.0,4 Decimal point,ViewSummary,DownloadPrice,'$14.2365,'$12.1200,FAIL,7065
TC015,45.0,4 Decimal point,ViewSummary,total,'$13.5873,'$11.5673,FAIL,7065
TC015,45.0,4 Decimal point,ShoppingCart,GridTotal,'$13.5873,'$11.5673,FAIL,7065
TC015,45.0,4 Decimal point,ShoppingCart,total,'$13.5873,'$11.5673,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,ItemPrice,'$14.2365,'$12.1200,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,Amount,'$13.5873,'$11.5673,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,SubTotal,'$13.5873,'$11.5673,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,PromotionDiscount,'-$2.3600,'-$2.3500,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,TaxPercentage,'(7.8900%),'(3.1200%),FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,TaxAmount,'$0.8858,'$0.2876,FAIL,7065
TC015,45.0,4 Decimal point,OrderCheckOut,Total,'$12.1131,'$9.5049,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Select List,Shipping Price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),ViewSummary,Shipping price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),ViewSummary,total,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),ShoppingCart,Shipping price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),ShoppingCart,GridTotal,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),ShoppingCart,total,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,Shipping price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,Amount,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,SubTotal,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,PromotionDiscount,'-$2.12,'-$2.35,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,TaxPercentage,'(5.21%),'(3.12%),FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,TaxAmount,'$6.95,'$4.48,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckOut,Total,'$140.32,'$147.93,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OrderCheckout,AppliedPayment,'$140.32,'$147.93,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,Shipping price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,Amount,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,SubTotal,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,PromotionDiscount,'- $2.12,'- $2.35,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,TaxPercentage,'(5.21%),'(3.12%),FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,TaxValue,'$6.95,'$4.48,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,Shipping price,'$22.25,'$32.56,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),Order Summary,Total,'$140.32,'$147.93,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,PrintTotal,'$140.32,'$147.93,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,Amount,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,SubTotal,'$135.49,'$145.80,FAIL,7065
