Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC001,1.0,(2 Decimal point) To test Dynamic-Mailing List price with all available parameters , , , , , Fail,7075
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Discount,'$2.641,'$2.54,FAIL,null
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Discount,'$2.641,'$2.54,FAIL,null
TC001,2.0,3 Decimal point,VeiwPricingPopUp,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ProductDetailsPopUp,Discount,'$2.641,'$2.54,FAIL,null
TC001,2.0,3 Decimal point,AddonPrice,Addon price,'Addon1 - $4.456 ( Flat Rate ),'Addon1 - $3.45 ( Flat Rate ),FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,subtotal,'$7.420,'$5.40,FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,Discount,'-( $2.641 ),'-( $2.54 ),FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,Addon price,'$4.456,'$3.45,FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,postage price,'$100.000,'$100.00,FAIL,null
TC001,2.0,3 Decimal point,ViewSummary,total,'$109.235,'$106.31,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,Item price,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,Discount price,'$2.641,'$2.54,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,Addon price,'$4.456,'$3.45,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,postage price,'$100.000,'$100.00,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,GridTotal,'$109.235,'$106.31,FAIL,null
TC001,2.0,3 Decimal point,ShoppingCart,total,'$109.235,'$106.31,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,ItemPrice,'$0.742,'$0.54,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,postage price,'$100.000,'$100.00,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,Amount,'$109.235,'$106.31,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,SubTotal,'$109.235,'$106.31,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,PromotionDiscount,'-$2.540,'-$1.54,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,TaxPercentage,'(8.461%),'(5.45%),FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,TaxAmount,'$9.027,'$5.71,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckOut,Total,'$115.722,'$110.48,FAIL,null
TC001,2.0,3 Decimal point,OrderCheckout,AppliedPayment,'$115.722,'$110.48,FAIL,null
TC001,2.0,3 Decimal point,Order checkout,CostCenter,'Cost center option NOT displayed to user,'Cost center option displayed to user,FAIL,null
TC001,3.0,4 Decimal point, , , , , Fail,7076
TC002,4.0,(2 Decimal point) To test Dynamic-print with list When Enable calculate tax is unchecked., , , , , Fail,7077
TC002,5.0,3 Decimal point, , , , , Fail,7078
TC002,6.0,4 Decimal point, , , , , Fail,7079
TC003,7.0,(2 Decimal point) To test Dynamic-print when Discount and promotion coupon Percentage where item price is flat rate, , , , , Fail,7080
TC003,8.0,3 Decimal point, , , , , Fail,7081
TC003,9.0,4 Decimal point, , , , , Fail,7082
TC004,10.0,(2 Decimal point) To test Dynamic-print with list WhenDiscount percentage and coupon value., , , , , Fail,7083
