Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC023,67.0,(2 Decimal point) To test Static-print Shpping: Print when shipping is Taxable and shipping price is Per Piece and Item Price is Flat Rate, , , , , PASS,6928
TC023,68.0,3 Decimal point, , , , , PASS,6929
TC023,69.0,4 Decimal point,ProductDetailsPopUp,Item price,'$41.4671,'$6.5984,FAIL,null
TC023,69.0,4 Decimal point,ProductDetailsPopUp,Discount,'4.1200%,'6.2300%,FAIL,null
TC023,69.0,4 Decimal point,ProductDetailsPopUp,Item price,'$41.4671,'$6.5984,FAIL,null
TC023,69.0,4 Decimal point,ProductDetailsPopUp,Discount,'4.1200%,'6.2300%,FAIL,null
TC023,69.0,4 Decimal point,VeiwPricingPopUp,Item price,'$41.4671,'$6.5984,FAIL,null
TC024,70.0,(2 Decimal point) To test Dynamic-print using Shipping to my address to test only print(Flat rate)(Applying Discount(%) Coupon(Amount)  Add-On(Flat rate) and Tax),Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC024,70.0,(2 Decimal point) To test Dynamic-print using Shipping to my address to test only print(Flat rate)(Applying Discount(%) Coupon(Amount)  Add-On(Flat rate) and Tax),Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC024,70.0,(2 Decimal point) To test Dynamic-print using Shipping to my address to test only print(Flat rate)(Applying Discount(%) Coupon(Amount)  Add-On(Flat rate) and Tax),OrderCheckOut,TaxAmount,'$1.22,'$0.97,FAIL,null
TC024,70.0,(2 Decimal point) To test Dynamic-print using Shipping to my address to test only print(Flat rate)(Applying Discount(%) Coupon(Amount)  Add-On(Flat rate) and Tax),OrderCheckOut,Total,'$39.32,'$39.07,FAIL,null
TC024,70.0,(2 Decimal point) To test Dynamic-print using Shipping to my address to test only print(Flat rate)(Applying Discount(%) Coupon(Amount)  Add-On(Flat rate) and Tax),OrderCheckout,AppliedPayment,'$39.32,'$39.07,FAIL,null
TC024,71.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC024,71.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC024,71.0,3 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC024,71.0,3 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6930
TC024,71.0,3 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6930
TC024,71.0,3 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6930
TC024,71.0,3 Decimal point, , , , , Fail,6930
TC024,72.0,4 Decimal point,ProductDetailsPopUp,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,ProductDetailsPopUp,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,VeiwPricingPopUp,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,ProductDetailsPopUp,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,AddonPrice,Addon price,'Addon1 - $35.2134 ( Flat Rate ),'Addon1 - $35.2130 ( Flat Rate ),FAIL,null
TC024,72.0,4 Decimal point,ViewSummary,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,ViewSummary,subtotal,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,ViewSummary,Discount,'-$3.1919,'-$3.1920,FAIL,null
TC024,72.0,4 Decimal point,ViewSummary,Addon price,'$35.2134,'$35.2130,FAIL,null
TC024,72.0,4 Decimal point,ViewSummary,total,'$83.2563,'$83.2560,FAIL,null
TC024,72.0,4 Decimal point,ShoppingCart,Item price,'$51.2348,'$51.2350,FAIL,null
TC024,72.0,4 Decimal point,ShoppingCart,Addon price,'$35.2134,'$35.2130,FAIL,null
TC024,72.0,4 Decimal point,ShoppingCart,GridTotal,'$83.2563,'$83.2560,FAIL,null
TC024,72.0,4 Decimal point,ShoppingCart,total,'$83.2563,'$83.2560,FAIL,null
TC024,72.0,4 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC024,72.0,4 Decimal point,Order check out,Shipping Price,'$13.2893,'$13.289,FAIL,null
TC024,72.0,4 Decimal point,OrderCheckOut,ItemPrice,'$51.2348,'$51.235,FAIL,null
TC024,72.0,4 Decimal point,OrderCheckOut,Amount,'$83.2563,'$83.256,FAIL,null
