Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC036,106.0,(2 Decimal point) To test Static-Download/Print Item process type , , , , , PASS,6939
TC036,107.0,3 Decimal point, , , , , PASS,6940
TC036,108.0,4 Decimal point, , , , , PASS,6941
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6942
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6942
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6942
TC038,112.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax), , , , , Fail,6942
TC038,113.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC038,113.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC038,113.0,3 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC038,113.0,3 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6943
TC038,113.0,3 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6943
TC038,113.0,3 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,6943
TC038,113.0,3 Decimal point, , , , , Fail,6943
TC038,114.0,4 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
