Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC057,181.0,3 Decimal point To test static-print Shpping: Print when shipping is Taxable and shipping price is Flat rate and Item Price is Flat Rate, , , , , PASS,7197
TC057,182.0,4 Decimal point To test static-print Shpping: Print when shipping is Taxable and shipping price is Flat rate and Item Price and addon's Perpiece, , , , , PASS,7198
TC057,183.0,(2 Decimal point) To test dynamic-print Shpping: Print when shipping is Taxable and shipping price is Per Piece and Item Price is Flat Rate, , , , , PASS,7199
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Order check out,Shipping Price,'$24.9429,'$2.6754,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,OrderCheckOut,Shipping,'$24.9429,'$2.6754,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,OrderCheckOut,TaxAmount,'$2.7213,'$1.7593,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,OrderCheckOut,Total,'$65.7136,'$42.4841,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,OrderCheckout,AppliedPayment,'$65.7136,'$42.4841,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Order Summary,ShipingAmount,'$24.9429,'$2.6754,FAIL,null
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Order Summary,TaxValue,'$2.7213,'$1.7593,FAIL,null
